Test	Confs. (features enabled)
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, GUI, LOGGING, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, GUI, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_WHATEVER, LOGGING, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_DEPARTMENT, GUI, LOGGING, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_WHATEVER, GUI, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_MANAGER, GUI, LOGGING, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, LOGGING, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_MANAGER, GUI, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, GUI, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_DEPARTMENT, LOGGING, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, LOGGING, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, LOGGING, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	ACCESS_CONTROL, GUI, LOGGING, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_WHATEVER, PRECEDENCE, TOTAL_REDUCER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_MANAGER, GUI, LOGGING, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_MANAGER, PRECEDENCE
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_DEPARTMENT, PRECEDENCE, TOTAL_WALKER
tests.Pilot_REPAIR.test6(Pilot_REPAIR.java:25)	CUT_NO_MANAGER, LOGGING, PRECEDENCE, TOTAL_REDUCER
